# Total Pointers Found: 6648
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 4
# Data xref hits: 6648
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
10E9A | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10EA4 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10EA9 | seg000 | 1010B | aBirthTimeHrMin | string_pointer | "Birth time - Hr Min [24Hrs]  ?"
10EBB | seg000 | 2F50A | unk_2F50A | unknown_pointer | 
10EC5 | seg000 | 27E1C | word_27E1C | data_pointer | data_item_size=2
10ECD | seg000 | 27E1E | word_27E1E | data_pointer | data_item_size=2
10ED5 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10EDF | seg000 | 27E1E | word_27E1E | data_pointer | data_item_size=2
10EF8 | seg000 | 27E1C | word_27E1C | data_pointer | data_item_size=2
10F09 | seg000 | 27BFE | word_27BFE | data_pointer | data_item_size=2
10F0C | seg000 | 27C00 | word_27C00 | data_pointer | data_item_size=2
10F10 | seg000 | 27C02 | word_27C02 | data_pointer | data_item_size=2
10F14 | seg000 | 27B4E | byte_27B4E | data_pointer | data_item_size=1
10F26 | seg000 | 27B4E | byte_27B4E | data_pointer | data_item_size=1
10F30 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F35 | seg000 | 1012B | aListOfCities | string_pointer | "LIST  OF  CITIES"
10F47 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F4C | seg000 | 1014A | asc_1014A | string_pointer | "----------------"
10F5E | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F68 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F72 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F77 | seg000 | 10169 | a1Clombo2Galle3 | string_pointer | "1. CLOMBO     2. GALLE     3. MATHARA    4. KANDY     5. HAMBANTOTA"
10F89 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F93 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10F9D | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FA2 | seg000 | 101AF | a6Kaluthara7Rat | string_pointer | "6. KALUTHARA  7. RATNAPURA 8. PUTTLAM    9. A"PURA   10. POLONARU"
10FB4 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FBE | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FC8 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FCD | seg000 | 101F5 | a11Jaffna12Trin | string_pointer | "11. JAFFNA    12. TRINCO   13. MATHARA   14.BADULLA   15. K"GALA"
10FDF | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FE9 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FF3 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10FFD | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
11007 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
1100C | seg000 | 1023B | aClosestCity | string_pointer | "Closest city ?"
1101E | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
11028 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
1102D | seg000 | 1024B | asc_1024B | string_pointer | "/------------------------------------------/"
1103F | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
11044 | seg000 | 10278 | aEnterANumber15 | string_pointer | "/ ENTER A NUMBER > 15 FOR CITIES NOT GIVEN /"
11056 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
1105B | seg000 | 1024B | asc_1024B | string_pointer | "/------------------------------------------/"
1106D | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
11077 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
1108C | seg000 | 2F50A | unk_2F50A | unknown_pointer | 
11096 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11099 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
1109D | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
110A6 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
110A9 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
110AD | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
110BF | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
110C5 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
110CB | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
110D1 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
110D7 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
110DA | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
110DE | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
110F0 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
110F6 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
110FC | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11102 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11108 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
1110B | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
1110F | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11122 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11128 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
1112E | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11134 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1113A | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
1113D | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11141 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11153 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11159 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
1115F | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11165 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1116B | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
1116E | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11172 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11185 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
1118B | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11191 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11197 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1119D | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
111A0 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
111A4 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
111B7 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
111BD | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
111C3 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
111C9 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
111CF | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
111D2 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
111D6 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
111E9 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
111EF | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
111F5 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
111FB | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11201 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11204 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11208 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
1121A | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11220 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11226 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
1122C | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11232 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11235 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11239 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
1124C | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11252 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11258 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
1125E | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11264 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11267 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
1126B | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
1127E | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11284 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
1128A | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
